name,date,notes,year
Holey Molar, Aug 27, Mountaineer R,2016
Little Louella, Aug 27, Penn R,2016
Twelfth Fan, Aug 28, Emerald R,2016
Desert Trial, Aug 28, Saratoga T,2016
Jennymeister, Aug 29, Charles Town T,2016
Unblunted, Aug 29, Delaware R (euthanized Aug 30),2016
Royal Journey, Jul-Sep, Del Mar T,2016
Chubasco, Jul-Sep, Del Mar T,2016
unidentified, Jul-Sep, Del Mar R/T/S,2016
unidentified, Jul-Sep, Del Mar R/T/S,2016
unidentified, Jul-Sep, Del Mar R/T/S,2016
unidentified, Jul-Sep, Del Mar R/T/S,2016
Here Comes Da Boom, Sep 1, Gulfstream R,2016
Jla Strictly Busines, Sep 2, Fair Grounds R,2016
Classy Star, Sep 3, Canterbury R,2016
Cascade Cat, Sep 3, Emerald R (euthanized Sep 5),2016
Private Thrill, Sep 3, Finger Lakes R,2016
Distinctive Star, Sep 3, Gulfstream T,2016
Miss Mongolia, Sep 3, Gulfstream T,2016
Ocala Spirit, Sep 3, Gulfstream R,2016
Brave Rooster, Sep 3, Gulfstream R,2016
Austin's Argument, Sep 3, Remington R,2016
Judge Henry, Sep 4, Golden Gate T,2016
Super Nova, Sep 5, Arlington R,2016
Chasing Aces, Sep 5, Del Mar R,2016
Chaching Pete, Sep 6, Emerald S,2016
Sayalittlprayrfrme, Sep 7, Batavia R,2016
Illhuffanillpuff, Sep 7, Charles Town T,2016
Time's Concern, Sep 7, Louisiana R,2016
Mapimi, Sep 8, Remington R,2016
Broad Acres, Sep 8, Remington R,2016
McDynamite, Sep 8, Yonkers R,2016
Black Doblin, Sep 9, Aqueduct T,2016
Alittlebitofmagic, Sep 9, Belterra R,2016
Can't Stop the Kid, Sep 9, Gulfstream R,2016
Its Only Fair, Sep 9, Saratoga T,2016
Insurance Premium, Sep 10, Delaware T (euthanized Sep 16),2016
Kafwain's Ghost, Sep 10, Emerald R,2016
Faulty Tower, Sep 10, Retama R,2016
Fonepferesh, Sep 13, Mountaineer R,2016
Registrada, Sep 13, Parx R,2016
Neala Girl, Sep 14, Remington R,2016
Bayou Royalty, Sep 16, Belterra R,2016
Beauty Girls Dream, Sep 16, Delaware S,2016
Patriot Joe, Sep 16, Energy S,2016
unidentified, Sep 16, Indiana S,2016
Flying Carlos, Sep 16, Louisiana R,2016
unnamed, Sep 17, Belmont T,2016
Ima Polaris, Sep 17, Energy R,2016
Indiana Stones, Sep 17, Finger Lakes R,2016
Sgt. Major Ross, Sep 17, Finger Lakes R,2016
unidentified, Sep 17, Indiana S,2016
Why Argue, Sep 17, Mountaineer T,2016
Doc Hennessy, Sep 17, Ruidoso T,2016
Cute Boy, Sep 17, Thistledown R,2016
Princess Talia, Sep 17, Thistledown R,2016
Bet With Charlie, Sep 18, Churchill R,2016
Blue Cres, Sep 18, Zia R,2016
Dreaming of Bella, Sep 19, Mountaineer R,2016
Core Competency, Sep 19, Saratoga T,2016
Three's a Trump, Sep 19, Thistledown R,2016
Playncardswitroddy, Sep 20, Harrington R,2016
Age of Fluffy, Sep 21, Presque Isle R,2016
Phil's Wildcat, Sep 22, Belterra R,2016
What a Cat, Sep 22, Monmouth S,2016
Sr Inseperable, Sep 23, Lone Star R,2016
Cam Dan Kadandy, Sep 23, Saratoga Harness R,2016
Exclusive, Sep 23, Thistledown R,2016
Wind Warrior, Sep 24, Arlington R,2016
Iberian, Sep 24, Gulfstream W T,2016
unidentified, Sep 24, Indiana T,2016
Dannhauser, Sep 24, Laurel R,2016
Boxcar Babe, Sep 24, Lone Star R,2016
Smiling Reuben, Sep 25, Albuquerque R,2016
Lost in D Shuffle, Sep 25, Finger Lakes S,2016
Feisty's Cause, Sep 25, Pleasanton R,2016
Itsastormynight, Sep 25, Portland R,2016
Dontevnthnkaboutit, Sep 26, Finger Lakes T,2016
Notwhoiseemtobe, Sep 27, Finger Lakes R,2016
Fan Demon, Sep 27, Mountaineer R,2016
Apostles Creed, Sep 27, Yonkers R,2016
All About Attitude, Sep 28, Charles Town T,2016
Power Heat, Sep 28, Gulfstream W T,2016
My Fast Sensation, Sep 29, Evangeline R,2016
Cara Chica, Sep 29, Remington T,2016
yet-to-be-named, Sep 30, Belmont S,2016
Ivory Debt, Sep 30, Lone Star S,2016
Lil Dip a Nitro, Sep 30, Los Alamitos R,2016
Derby Fan, Sep 30, Remington R,2016
unidentified, May-Sep, Canterbury R,2016
unidentified, May-Sep, Canterbury R,2016
unidentified, May-Sep, Canterbury R,2016
unidentified, May-Sep, Canterbury R,2016
unidentified, May-Sep, Canterbury R,2016
unidentified, May-Sep, Canterbury T,2016
unidentified, May-Sep, Canterbury T,2016
unidentified, May-Sep, Canterbury T,2016
Moscow Miss, Oct 1, Gulfstream R,2016
Fort Smith, Oct 2, Belmont R,2016
Rockin' Rockstar, Oct 2, Presque Isle R,2016
Onlytheshadowknows, Oct 3, Belmont T,2016
Wizsito, Oct 3, Portland R,2016
Sky Crew, Oct 3, Thistledown R,2016
Bluesie Brown, Oct 3, Turf T,2016
Sassy Samba, Oct 4, Gulfstream T,2016
Blazingsuccess, Oct 6, Fresno R,2016
The Suprise Coronas, Oct 6, Lone Star R,2016
yet-to-be-named, Oct 8, Finger Lakes T,2016
The Real Tone, Oct 8, Northfield R (euthanized Oct 10),2016
Given the Chance, Oct 8, Thistledown R,2016
Miss Pink Diva, Oct 9, Keeneland R,2016
Princess Melania, Oct 10, Delaware R,2016
Hotrod Justice, Oct 10, Mountaineer R,2016
Jennie Says So, Oct 10, Parx R,2016
Money Makin Mike, Oct 10, Santa Anita R,2016
Willy, Oct 11, Belmont S,2016
Take Me Away, Oct 11, Finger Lakes R,2016
My Silver Badge, Oct 11, Mountaineer R (euthanized Oct 27),2016
Forty Purrs, Oct 12, Indiana R,2016
Keyed for Speed, Oct 12, Thistledown R,2016
Michelle's Trip, Oct 13, Charles Town T,2016
No Problem Paddy, Oct 13, Charles Town R,2016
Sooner Or Later, Oct 13, Remington R,2016
Boston Strong, Oct 14, Laurel R (euthanized Nov 12),2016
Paint Me Furious, Oct 14, Will Rogers R,2016
Cinder Block, Oct 15, Belmont R,2016
Full Moon's Mass, Oct 15, Charles Town R,2016
Desire Gone Astray, Oct 15, Gulfstream T,2016
D D Chicks Piloto, Oct 15, Prairie R,2016
R Slick Talker, Oct 15, Prairie R,2016
China Girl Lover, Oct 15, Santa Anita R,2016
Cats Serenade, Oct 16, Laurel R,2016
Irish Bride, Oct 16, Pompano S,2016
Aikman Rose, Oct 16, Turf T,2016
The Silver Frisby, Oct 17, Belmont T,2016
Sachicomula, Oct 17, Finger Lakes R,2016
Holy Highway, Oct 18, Mountaineer S,2016
Macho N Awesome, Oct 18, Turf T,2016
A Chip and a Chair, Oct 19, Belmont T,2016
She's My Ghibli, Oct 19, Belmont R,2016
Excite Me, Oct 19, Turf T,2016
Baccelo, Oct 20, Belmont T,2016
Winter Games, Oct 20, Belmont T,2016
Long Blooming Rose, Oct 21, Belmont T,2016
Fitz's Storm, Oct 21, Hawthorne R,2016
Corona Ela, Oct 21, Los Alamitos R,2016
Nationbuilder, Oct 22, Great Meadow R,2016
Bobby McDuffie, Oct 22, Penn R,2016
All Y'all, Oct 23, Keeneland R,2016
Kerisma, Oct 23, Mountaineer R,2016
Laura's Babydoll, Oct 23, Santa Anita R,2016
Highly Classified, Oct 24, Turf R,2016
Profitable Lover, Oct 25, Mountaineer R (euthanized Nov 4),2016
Freudian Fantasy, Oct 25, Mountaineer R,2016
Prodding, Oct 26, Indiana R,2016
Pauline's Pride, Oct 26, Laurel T,2016
Cantina Butterfly, Oct 26, Parx S,2016
Double Louie, Oct 29, Charles Town R (euthanized Mar 6),2016
Sparkling Jewel, Oct 29, Charles Town R (euthanized Dec 12),2016
First Prize Denim, Oct 29, Evangeline R,2016
Grand Star, Oct 29, Gulfstream W T,2016
Vodka Effort, Oct 29, Lone Star R,2016
Da Big Dawg, Oct 29, Mountaineer R,2016
Awesome Encounter, Oct 29, Santa Anita R,2016
Shesaperfectbeamer, Oct 29, Turf R (euthanized Oct 30),2016
Bluegrass Lady, Oct 30, Laurel R,2016
Zee Note, Nov 1, Mountaineer T,2016
Hunt Basket, Nov 2, Charles Town T,2016
Davie Nightmare, Nov 2, Gulfstream T,2016
Gambler Five, Nov 2, Penn R,2016
Hi Summerbird, Nov 3, Delaware S,2016
Dolce Surprise, Nov 4, Gulfstream W R,2016
Rango B, Nov 4, Lone Star R,2016
Phoebe Moon, Nov 4, Mountaineer S,2016
Corona Del Inca, Nov 4, Santa Anita R,2016
Sequoyah Lightning, Nov 5, Delta R,2016
Surreal Dream, Nov 5, Finger Lakes S,2016
Spectacular Shirin, Nov 5, Finger Lakes R,2016
Don's Girl, Nov 5, Gulfstream T,2016
Will Be Magical, Nov 6, Gulfstream T,2016
U.S.S. Boxer, Nov 6, Laurel R,2016
Suzy's Storm, Nov 6, Mountaineer R,2016
Way Out Willie, Nov 6, Mountaineer R,2016
West Is Best, Nov 6, Pennsylvania Hunt R,2016
Golden Empress, Nov 7, Mahoning R,2016
Toowindytohaulrox, Nov 7, Santa Anita T,2016
Whispering Dancer, Nov 9, Churchill R,2016
Don Jules, Nov 9, Pimlico T,2016
Randi's Diamond, Nov 9, Turf T,2016
Millenial, Nov 10, Churchill R,2016
Mister Pippit, Nov 10, Churchill R,2016
Delta Code, Nov 10, Delta R,2016
Shark Rules, Nov 11, Pompano T,2016
Daves Gone Bananas, Nov 12, Belmont T,2016
Englehart, Nov 12, Belmont T,2016
Bam Bam Brown, Nov 12, Westampton Farm (NJ) T,2016
Graypromise, Nov 12, Zia R,2016
Arrogant Officer, Nov 13, Laurel R (euthanized Nov 14),2016
South Philly Magic, Nov 14, Parx R,2016
One More Polish, Nov 14, Zia R,2016
Flatter Talk, Nov 15, Mountaineer R (euthanized Nov 22),2016
Miss Mountineer, Nov 16, Charles Town T,2016
Tiz Candy, Nov 16, Churchill R,2016
Zingarella, Nov 16, Finger Lakes R (euthanized Nov 17),2016
Ima Handsome Dude, Nov 16, Gulfstream W R,2016
True Bayou, Nov 16, Mahoning R,2016
Wealwayshave Paris, Nov 17, Delta R,2016
Holy Flip Flop, Nov 17, Remington R,2016
Our Sweet Lilly, Nov 18, Aqueduct T,2016
Lovely Elle, Nov 18, Gulfstream S,2016
Commotional, Nov 18, Remington T,2016
Actively, Nov 19, Aqueduct S,2016
Rory Monarchos, Nov 19, Hawthorne T (euthanized Nov 20),2016
Dr. Abramson, Nov 19, Parx R,2016
My Buddy Rob, Nov 19, Remington R,2016
Wayln Brent George, Nov 19, Remington R,2016
Lyrical Passage, Nov 20, Del Mar R,2016
Sing Like a Bird, Nov 20, Los Alamitos R,2016
Jo Dancer, Nov 20, Mountaineer R,2016
TNT Party, Nov 21, Portland R,2016
Suspecttommy, Nov 22, Mountaineer R,2016
Conja Boo, Nov 22, Remington S,2016
Blitzinonmoonshine, Nov 23, Turf T,2016
Lightning Strike, Nov 24, Churchill R,2016
Kim Royale, Nov 25, Aqueduct R (euthanized Nov 26),2016
This Miss Can Kiss, Nov 26, Golden Gate T,2016
Ideal, Nov 26, Golden Gate R,2016
Socksbdancing, Nov 26, Hawthorne R,2016
Star Cover, Nov 26, Pocono R,2016
Outrun Em All, Nov 26, Tampa Bay T,2016
Tripski, Nov 26, Turf T,2016
Trixie Topper, Nov 27, Del Mar R,2016
Trump Diesel, Nov 27, Del Mar R,2016
Flat Out Licked Em, Nov 29, Finger Lakes R,2016
Supah Guy, Nov 29, Turf R,2016
Justenuffaddie, Nov 30, Finger Lakes R,2016
Flaming Fever, Nov 30, Finger Lakes R,2016
Energy Spirit, Nov-Dec, Del Mar T,2016
Flaming Vixen, Dec 1, Del Mar R,2016
Cole's Magic Vow, Dec 1, Delta R,2016
Hot Hand, Dec 2, Remington R,2016
Millennium Flower, Dec 2, Turf T,2016
Adair, Dec 3, Del Mar R,2016
Oklahoma Rust, Dec 3, Remington R,2016
Ardena, Dec 3, Remington R,2016
Kelly With a Twist, Dec 4, Golden Gate R,2016
All of Barbados, Dec 4, Gulfstream T,2016
Sinistra, Dec 5, Belmont T,2016
Boo Boo Dancer, Dec 7, Charles Town R,2016
Perfect Spot, Dec 7, Mahoning R,2016
Bruner, Dec 7, Mahoning R,2016
Queen Patron, Dec 7, Penn R,2016
Ella's Kitten, Dec 7, Turf T,2016
Brim, Dec 8, Hawthorne R,2016
Maybe Tonight, Dec 8, Pimlico T,2016
Really Mistya, Dec 9, Charles Town R,2016
Paszcatch, Dec 9, Golden Gate R,2016
Crystal Belle, Dec 10, Belmont T,2016
Maisla, Dec 10, Delta R,2016
Warrior's Magic, Dec 10, Hawthorne T,2016
Dynamy Road, Dec 10, Mahoning R,2016
My Bo Chop, Dec 10, Tampa Bay T,2016
Wicked Attitude, Dec 10, Tampa Bay T,2016
Kings R Blue, Dec 11, Los Alamitos R,2016
Final Betrayal, Dec 11, Parx R,2016
Considered Opinion, Dec 12, Mahoning R,2016
Mean Streets, Dec 14, Charles Town T,2016
Mandevillian, Dec 14, Delta R,2016
Sierra Ancha, Dec 14, Penn R,2016
Gone Till Dawn, Dec 17, Tampa Bay T,2016
Seeking the Sherif, Dec 20, Laurel T,2016
Streakin Lane, Dec 20, Sunland R,2016
Nevada Kid, Dec 21, Mahoning R,2016
AK's Candy, Dec 22, Charles Town R,2016
Dragonfly Chaser, Dec 23, Hawthorne R,2016
Tactical Hero, Dec 23, Laurel R,2016
Beware the Fury, Dec 23, Laurel R,2016
Fnf Bruja, Dec 26, Portland R,2016
Rolling Thunder, Dec 26, Portland R,2016
Surfer Chub, Dec 27, Parx R,2016
Jazz Pizzaz, Dec 27, Tampa Bay T,2016
Twobobs, Dec 27, Turf T,2016
Walkers Sentry, Dec 28, Turfway R,2016
Knight of Sun, Dec 29, Mahoning T,2016
Greenstein, Dec 30, Hawthorne R (euthanized Jan 1),2016
Starcrossed, Dec 30, Mahoning T,2016
Sinster Blue, Dec 30, Tampa Bay T,2016
Noble Mojave, Dec 30, Turf S,2016
Condo Prince, Dec 31, Aqueduct R,2016
Little City Girl, Dec 31, Charles Town T,2016
Just Jack, Dec 31, Laurel R,2016
Golden Bay, Jan 2, Aqueduct R,2015
Louie Cat, Jan 2, Charles Town S,2015
Generous George, Jan 2, Golden Gate R,2015
Pop Pop Kiss, Jan 2, Laurel T,2015
Devil's Issue, Jan 2, Los Alamitos R,2015
Sharp Harbour, Jan 2, Tampa Bay R,2015
Humble Hero, Jan 3, Gulfstream T,2015
Calvados, Jan 3, Parx R (euthanized Jan 4),2015
Bandini's Star, Jan 3, Turfway R,2015
Shewreckstheplace, Jan 4, Aqueduct R,2015
Stuffed Animal, Jan 4, Santa Anita R,2015
Hiclass Local, Jan 4, Sunland R,2015
Sparkling Form, Jan 5, Hialeah R,2015
Tejano Trouble, Jan 6, Turf R,2015
Discreet Romance, Jan 7, Calder T,2015
Good Problem, Jan 7, Delta R,2015
Reminic, Jan 7, Monticello R,2015
TSM Lil Orphan Andy, Jan 7, Pompano R,2015
Can'touchthisgal, Jan 8, Fair Grounds R,2015
Warren's Assassin, Jan 8, Santa Anita R,2015
Channel of Love, Jan 9, Aqueduct T,2015
Apex, Jan 9, Aqueduct R,2015
Italian Rules, Jan 9, Aqueduct R,2015
One Eyed Clyde, Jan 9, Charles Town S,2015
Ear D'Rhythm, Jan 9, Laurel R (euthanized Jan 10),2015
Dual Exhauzt, Jan 9, Pimlico T,2015
Princess Marcela, Jan 9, Pimlico T,2015
Big Swig, Jan 10, Golden Gate T,2015
Up Front Biz, Jan 10, Meadows S,2015
Capo, Jan 10, Parx S,2015
Mar de Mares, Jan 10, Parx T,2015
Pick Four, Jan 10, Penn T,2015
Rusty Raven, Jan 11, Fair Grounds R,2015
For All the Kathys, Jan 11, Parx R,2015
Bob and Louie, Jan 11, Tampa Bay T,2015
Solomon's Sun, Jan 12, Fair Grounds R,2015
Dancewithcourtney, Jan 12, Parx S,2015
Boy's Brother Bob, Jan 13, Mahoning R,2015
Volage, Jan 13, Turf R,2015
Master's Champion, Jan 14, Charles Town T (euthanized Jan 15),2015
Pinpoint Pal, Jan 14, Tampa Bay R,2015
You Take the Cake, Jan 15, Aqueduct R,2015
One Step Higher, Jan 15, Delta R,2015
One More Chief, Jan 16, Belmont T,2015
St Lads Kingpin, Jan 16, Cal Expo R,2015
Shop Smart, Jan 16, Charles Town T,2015
Jazz Track, Jan 16, Charles Town R,2015
Under Study Career, Jan 16, Golden Gate T,2015
Top Partner, Jan 16, Tampa Bay T,2015
Mt Everest, Jan 17, Calder T,2015
Bah Zinga, Jan 17, Hialeah R,2015
She Be Bunny, Jan 17, Penn R,2015
Warrens Venedalucy, Jan 17, Sunland R,2015
Senso, Jan 18, Aqueduct T,2015
Highly Rated, Jan 18, Golden Gate R,2015
Ratso Rizzo, Jan 18, Gulfstream R (euthanized Jan 19),2015
Go See Too, Jan 18, Sunland R,2015
Brooks Gift, Jan 18, Tampa Bay R,2015
Fancita Mae, Jan 18, Turfway R,2015
Hidden Angel, Jan 20, Turf R,2015
Warrior Forever, Jan 21, Charles Town R,2015
Boston Brute, Jan 21, Delta R,2015
Cattagirl, Jan 21, Laurel T,2015
First After Me, Jan 21, Northfield R,2015
My Uncle Frank, Jan 21, Tampa Bay R,2015
Miss Macarena, Jan 22, Aqueduct R,2015
Trail'satwosteppin, Jan 23, Charles Town R,2015
Flying Jessica, Jan 23, Hialeah R,2015
Snaff, Jan 24, Fair Grounds R,2015
Paramounts Fortune, Jan 24, Sunland R,2015
Colstons Leaving U, Jan 25, Louisiana R,2015
American Sun, Jan 25, Santa Anita R,2015
Cozy Nicole, Jan 25, Turfway R,2015
Tornado City, Jan 26, Belmont T,2015
Birdie Brew, Jan 26, Sunland R,2015
Time for a J, Jan 27, Turf R,2015
Fronkonsteen, Jan 28, Charles Town R (euthanized Jan 29),2015
Save This Dance, Jan 29, Penn R,2015
Zamita, Jan 30, Penn S,2015
Katelynn's the One, Jan 30, Sam Houston R,2015
Alexis Charm, Jan 31, Fair Grounds R,2015
St Peter of Rome, Jan 31, Gulfstream T,2015
Bounty for Devon, Jan 31, Sunland R,2015
Andre Five, Jan 31, Tampa Bay S,2015
Sergush, Feb 1, Fair Grounds R,2015
Lazy Lightnin, Feb 1, Golden Gate T,2015
Pacific Coast, Feb 1, Sunland R,2015
Force Nine, Feb 1, Tampa Bay T,2015
H's Cat, Feb 1, Turfway R,2015
Pretty Mr. D, Feb 2, Parx S,2015
Strawberry Park, Feb 2, Sunland T,2015
Start Time, Feb 2, Turf S,2015
Peaceful Quiet, Feb 4, Golden Gate T,2015
Cobalto, Feb 5, Charles Town T,2015
Leroy Rose, Feb 5, Gulfstream T,2015
Beach Speech, Feb 5, Miami R,2015
Saint Rafael, Feb 6, Sunland T,2015
La Ranchera, Feb 6, Tampa Bay R,2015
Carol Ann, Feb 6, Tampa Bay R,2015
Drew Clear, Feb 7, Delta R,2015
Badman of the Brazos, Feb 7, Sunland R,2015
Wildly Quiet, Feb 8, Sunland R,2015
Silic Oui, Feb 8, Tampa Bay T,2015
Strike It Cody, Feb 9, Louisiana R,2015
Rock Shaft, Feb 9, Parx R,2015
Trust in Tebow, Feb 9, Parx R,2015
Astral, Feb 10, Parx R (euthanized Feb 11),2015
Goldonspotofgold, Feb 10, Sam Houston R,2015
Zen Zai Sun, Feb 10, Turf R,2015
Cowtown Star, Feb 10, Turf R,2015
Razmataz, Feb 12, Penn T,2015
Belonging, Feb 12, Santa Anita R,2015
Drink With Pride, Feb 13, Penn R,2015
Delphia, Feb 13, Sunland T,2015
Indian Flag, Feb 13, Sunland R,2015
Wild Moon, Feb 13, Tampa Bay R (euthanized Feb 14),2015
I Jus Wana Hav Fun, Feb 14, Fair Grounds R,2015
Wonderfella, Feb 14, Laurel R,2015
Cosmic Gold, Feb 14, Laurel R,2015
Okey Dokey Smokey, Feb 14, Parx T,2015
Sendme Some Lovin, Feb 14, Parx T,2015
JC's Dream, Feb 14, Penn S,2015
Praise a Native, Feb 14, Rillito R,2015
Way to Go Gerda, Feb 14, Sunland R,2015
Mac'shouseofhearts, Feb 15, Emerald T,2015
Lord of Fire, Feb 15, Hialeah R,2015
Lookatu, Feb 15, Tampa Bay T,2015
Rule Breaker, Feb 16, Golden Gate T,2015
Royal Blue Miracle, Feb 16, Louisiana R,2015
Honey Boy, Feb 16, Sam Houston R,2015
Ms P K Blue, Feb 16, Turf R,2015
Stel Christina, Feb 17, Remington S,2015
Fastique, Feb 18, Parx T,2015
Penny Ante Cat, Feb 18, Sunland T,2015
Brendon's Pic, Feb 20, Fair Grounds R,2015
Wild Tchoupitoulas, Feb 21, Fair Grounds R,2015
Sprague River, Feb 21, Santa Anita R,2015
Doubly Smart, Feb 22, Parx R,2015
Hurricane Turn, Feb 22, Parx R (euthanized Feb 28),2015
Over the Fence, Feb 22, Sunland T,2015
Exquisite Monarch, Feb 22, Tampa Bay T,2015
Dylbug, Feb 22, Turf R,2015
Aerial Dancer, Feb 23, Turf R,2015
Change Dancer (probably sic), Feb 24, Sunland S,2015
Fuzz, Feb 25, Charles Town R,2015
Heretodaygonetmrow, Feb 25, Penn T,2015
Seeking Sallie, Feb 25, Tampa Bay T,2015
Lovin It, Feb 26, Charles Town R,2015
Indict, Feb 26, Fair Grounds R,2015
Crafty Lil Devil, Feb 27, Charles Town S,2015
Mullers Canyon, Feb 27, Fonner R,2015
Inspeightofthings, Feb 27, Gulfstream W T,2015
Hostile Nation, Feb 27, Mahoning T,2015
The Real Rabbit, Feb 27, Sunland S,2015
Let's Dance, Feb 27, Sunland T,2015
Derby Hat, Feb 27, Sunland R,2015
Macho Mia, Feb 28, Louisiana R,2015
King Arien, Feb 28, Mahoning R (euthanized Mar 11),2015
Supreme Sissy, Feb 28, Sam Houston R,2015
Bracket Buster, Mar 1, Parx R,2015
Stormy Dan, Mar 1, Parx R,2015
Take It Out Back, Mar 2, Louisiana R,2015
Heza Fast Lajolla, Mar 2, Louisiana R,2015
Hecky Dorn, Mar 2, Mahoning R,2015
Wise Option, Mar 2, Sunland T,2015
Golden Fizz, Mar 3, Clendining Farms (NJ) T,2015
Brothers Johnanddon (probably sic), Mar 5, Sunland S,2015
Sweet Gem, Mar 6, Fonner T,2015
Zenaro, Mar 6, Oaklawn R,2015
Moonshine Express, Mar 6, Penn T,2015
She's a Cowgirl, Mar 6, Saratoga Harness R,2015
Caton's Cruise, Mar 7, Gulfstream T,2015
Mm Paul Revere, Mar 7, Louisiana R,2015
Mr Weaver, Mar 7, Mountaineer R (euthanized Mar 8),2015
Splitterr, Mar 7, Remington R,2015
Dandy Guy, Mar 7, Sunland T,2015
Texas Rapper, Mar 7, Sunland R,2015
Happy Harvey, Mar 8, Gulfstream R,2015
Curjen, Mar 9, Remington S,2015
Diabolic Diva, Mar 9, Sunland R,2015
Lady Angel, Mar 10, Hawthorne T,2015
Tl Bridled Lightning, Mar 10, Remington S,2015
yet-to-be-named, Mar 10, Sunland S,2015
Noble Metal, Mar 10, Turf T,2015
Our Hae, Mar 11, Charles Town S,2015
Lovin It, Mar 11, Charles Town R,2015
Fuzz, Mar 11, Charles Town R,2015
Head of the Barn, Mar 11, Meadows R,2015
Ruby Creek, Mar 11, Mountaineer S,2015
Risk the Moon, Mar 12, Aqueduct R,2015
Leo the Lion Tamer, Mar 12, Delta R,2015
Mr. Flexible, Mar 13, Laurel R,2015
Shes Got to Run, Mar 13, Mountaineer T,2015
Irish Jones, Mar 13, Parx T,2015
Sovereign Desire, Mar 13, Sunland T,2015
Hot Dom, Mar 13, Sunland R,2015
Rollthediceagain, Mar 13, Tampa Bay R,2015
Lookin At Daisy, Mar 14, Fair Grounds R,2015
Sheezflippinsexy, Mar 14, Fair Grounds R,2015
No One Is Like Me, Mar 14, Gulfstream R,2015
Summer Heavens, Mar 14, Oaklawn R,2015
Polish Justice, Mar 14, Sunland R,2015
Varsity, Mar 14, Tampa Bay R,2015
Who Dat Fans, Mar 15, Fair Grounds R,2015
Jess Roses, Mar 15, Remington R,2015
Libertyville, Mar 15, Tampa Bay T,2015
Big Bad Max, Mar 17, Charles Town T,2015
Golden Friendships, Mar 17, Gulfstream R,2015
Quietly Prim, Mar 17, Parx T,2015
Cowgirl Star, Mar 17, Will Rogers T,2015
Irish Media, Mar 18, Gulfstream R,2015
Elena's Dreamboy, Mar 18, Mountaineer R,2015
Miss Siphon, Mar 18, Penn T,2015
Summer Hawk, Mar 19, Belmont T,2015
Riding the River, Mar 19, Gulfstream R,2015
Second Round, Mar 19, Laurel R (euthanized Mar 23),2015
Saratoga Sundae, Mar 19, Parx T,2015
Afleet Monster, Mar 20, Charles Town R (euthanized Mar 21),2015
Jake, Mar 20, Gulfstream T,2015
El Commodore, Mar 20, Santa Anita R,2015
That's Justice, Mar 21, Freehold R,2015
Eltham, Mar 21, Laurel R (euthanized Mar 26),2015
Wild Kiss, Mar 21, Tampa Bay R,2015
Iron Media, Mar 21, Tampa Bay R,2015
Mizzo's Gold, Mar 21, Turf T,2015
Twisted Zing, Mar 21, Turfway R,2015
Macho Mio, Mar 22, Laurel R,2015
Mighty Tenpins, Mar 22, Remington S,2015
Letshaveacocktail, Mar 23, Gulfstream W T,2015
Ciao Valentina, Mar 24, Fonner T,2015
Take Heart, Mar 24, Hawthorne T,2015
Mdt Backstreet Bully, Mar 24, Louisiana R,2015
Jetrunaway, Mar 24, Louisiana R,2015
unidentified, Mar 25, Remington S,2015
Sir Santino, Mar 25, Remington T,2015
Soft Shoulders, Mar 25, Turf R,2015
Homeward Calling, Mar 26, Charles Town R (euthanized Mar 28),2015
Dancing Lo, Mar 26, Fonner T,2015
True Cruiser, Mar 26, Laurel S,2015
I Forget, Mar 26, Penn R,2015
Developer, Mar 26, Tampa Bay T,2015
Canopus, Mar 26, Turf S,2015
Cheers for Sidney, Mar 27, Gulfstream R,2015
unidentified, Mar 27, Hoosier S,2015
Albert P., Mar 27, Penn R (euthanized Mar 30),2015
New Splash, Mar 27, Sam Houston R,2015
Quiet Title, Mar 28, Penn T,2015
Stolis Bud, Mar 28, Sunland R,2015
Eastcoast Lights, Mar 29, Belmont S,2015
Carson City Brew, Mar 29, Gulfstream T,2015
Undercover Kitten, Mar 29, Gulfstream R,2015
Lisasfinishline, Mar 29, Rillito R,2015
